Linea,Horas_trabajo,Unidades_producidas,Porc_capacidad_utilizada,Unidades_vendidas,Ingresos_millones,N_pedidos,Porcentaje_defectos,Porcentaje_devoluciones,Satisfaccion_cliente,Horas_capacitacion,Porcentaje_ausentismo,Porcentaje_rotacion
Linea_01,403,1232,75.6,1010,612.8,479,6.86,8.13,66.4,26.1,6.75,15.27
Linea_02,352,1125,67.2,860,465,416,4.33,4.75,83.5,38.3,5.88,10.16
Linea_03,405,1268,77.4,1187,732.2,544,5.7,6.46,76.5,16.7,7.99,13.73
Linea_04,491,1491,84.7,1375,909.8,658,6.18,6.6,74.3,22.6,6.99,10.24
Linea_05,422,1419,77.3,1413,958.7,669,5.7,6.04,77.4,25.1,6.28,10.53
Linea_06,500,1501,85.4,1372,879.8,607,3.71,4,86.9,46.4,5.37,9.41
Linea_07,360,1148,69.5,1161,803,554,5.41,6,77.4,31.4,6.41,16.36
Linea_08,461,1565,86.6,1447,1055.7,688,4.44,4.98,84.5,39.7,5.37,10.88
Linea_09,432,1498,81.4,1174,705.5,529,6.58,6.69,72.3,23.1,5.19,9.55
Linea_10,410,1253,76.5,1299,866.7,614,6.18,6.72,72.6,22.5,6.31,12.5
Linea_11,286,916,60.2,1073,689.8,543,5.27,5.39,81,30,6,9.99
Linea_12,473,1523,84.8,1386,905.6,631,6.99,7.61,71,30.4,5.1,10.02
Linea_13,423,1405,81.3,1107,672.1,495,4.65,4.6,82.6,37,6.18,11.41
Linea_14,389,1209,72.3,1347,864,640,6.51,6.76,73.7,27.4,7,10.82
Linea_15,456,1477,84.8,1302,867.2,590,5.49,5.76,79.5,34.6,4.07,10.57
Linea_16,398,1348,75.7,1430,924.9,660,5.45,5.62,79.2,31.9,6.1,10.22
Linea_17,377,1228,71.4,1199,785.7,550,5.88,6.75,78.1,33.4,7.55,11.44
Linea_18,366,1181,70.3,885,529.5,436,5.56,6.4,76.9,34.2,7.42,11.63
Linea_19,450,1424,83.1,1171,688.7,491,5.07,5.62,79.8,22.9,6.84,6.47
Linea_20,304,988,60.9,985,631.4,467,7.44,8.85,65.8,9.2,7.45,13.54
Linea_21,539,1661,93.5,1226,758.2,565,5.67,6.09,78.2,40.8,4.68,8.16
Linea_22,391,1238,71.8,1353,906.2,642,6.58,7.13,73.6,35.1,5.64,8.33
Linea_23,439,1404,81,1099,721.9,520,7.02,7.82,71,22.4,6.86,11.2
Linea_24,438,1349,80.7,979,639.7,442,4.15,4.47,84.3,23.1,5.88,9.71
Linea_25,466,1553,88.6,1302,884.2,580,5.56,5.91,78.8,34.4,7.03,8.57
